,PII,SMT,APL,MAT,PRO,DSC,CMT,SPL
3539,S0008884616310924,"['Carbonation', 'carbonation', 'carbonation', 'carbonation']","['supplementary cementing materials', 'SCMs', 'building']","['cement', 'steel', 'concrete', 'concretes', 'cements', 'clinker', 'metakaolin', 'metakaolin', 'concretes', 'portlandite', 'cements', 'fly ash', 'GGBS', 'limestone', 'MK', 'limestone', 'CEM II / A-LL', 'MK', 'CEM I', 'concretes', 'metakaolin', 'limestone', 'concrete', 'steel', 'metakaolin']","['carbonation kinetics', 'service life', 'carbonation depth', 'carbonation depth', 'carbonation depth', 'carbonation depth', 'service life']","['bars', 'concretes', 'bars']",[],[]
3540,S0008884616310961,[],"['high performance concrete', 'truck mixer', 'ready mix plant', 'building site']","['concrete', 'concretes', 'HPC', 'concrete', 'concrete']","['yield stress', 'plastic viscosity', 'shear rate', 'plastic viscosity', 'yield stress']",[],[],[]
3541,S0008884616310973,['surface treatment'],"['coatings', 'coatings', 'sealers', 'silane coatings']","['concrete', 'sulfur', 'potassium', 'concrete']","['chemistry', 'hydrophobic', 'chemistry']",[],"['micro X-ray fluorescence', 'μXRF', 'μXRF', 'μXRF']",[]
3542,S0008884616311012,"['alkali - activated', 'ground granulated blast furnace slag', 'alkali activation', 'alkali - activated', 'gel']",['alkaline cements'],"['glass', 'glass', 'GP', 'coal fly ash', 'PCFA', 'PCFA', 'GGBS', 'PCFA', 'GP', 'silica', 'Ca', 'GP', 'slag', 'fly ash', 'calcium silicate hydrate', 'Al', 'Na', 'GP']","['compressive strength', 'Microstructure', 'reactivity']","['powder', 'GP', 'powder']",[],['C-(N)-A-S-H']
3543,S0008884616311127,['dry rodded'],"['recycled concrete aggregates', 'infrastructure', 'RCA', 'RCA']","['RCA', 'RCA', 'RCA', 'RCA', 'RCA', 'RCA', 'sand', 'RCA', 'RCA', 'concrete', 'RCA']","['alkali - aggregate reactivity', 'alkali - silica reactivity', 'absorption condition', 'reactivity', 'expansion', 'density', 'geology', 'reactivity']","['blocks', 'particles', 'bulk']","['concrete prism test', 'CPT', 'CPT', 'CPT']",[]
3544,S0008884616311139,"['catalyzing', 'hydration']","['pre-test tools', 'smart concrete management systems']","['Cement', 'concrete', 'cement', 'cement', 'clinker', 'concrete', 'clinker', 'cementitious', 'cement']","['sustainability', 'durability', 'strength', 'sustainability']",[],[],[]
3545,S0008884616311164,"['curing', 'curing']",['ultra-high strength concrete'],"['cementitious', 'steel', 'UHSC', 'nano-SiO2', 'cementitious', 'nano-SiO2', 'nano-SiO2', 'nano-SiO2', 'nano-silica']","['Bond properties', 'mechanical behavior', 'interfacial bond properties', 'bond strength', 'pullout energy', 'microstructure', 'Micro-hardness', 'hydration products', 'bond properties', 'microstructure', 'bond strength', 'pullout energy', 'bond properties', 'strength']","['fibers', 'matrix', 'composite', 'fiber', 'matrix', 'fiber', 'matrix interface', 'fiber', 'matrix', 'interface']","['response surface methodology', 'Mercury intrusion porosimetry', 'MIP', 'backscatter scanning electron microscopy', 'BSEM', 'quadratic model', 'microstructural analysis']",[]
3546,S0008884616311206,"['carbonation', 'carbonation', 'carbonation', 'drying']",[],"['concrete', ""Friedel 's salt""]","['chloride content', 'pore structure', 'phase composition']","['surface layer', 'pastes', 'mortars']",[],"[""Friedel 's salt""]"
3547,S0008884616311218,"['calcined', 'cured', 'hardened', 'geopolymerization', 'aged', 'geopolymerization', 'aged', 'carbonation', 'carbonation', 'carbonation']",['ore - dressing tailing'],"['bauxite', 'C-A-S-H', 'N-A-S-H', 'geopolymer', 'geopolymers', 'calcite', 'natron', 'geopolymer', 'N-A-S-H', 'calcium']","['strength', 'microstructure', 'strength', 'porosity', 'stability', 'strength']","['geopolymer', 'gels', 'amorphous', 'gels']",[],[]
3548,S0008884616311231,"['alkali - activated', 'alkali - activation', 'ground granulated blast furnace slag']",[],"['CaO-MgO-Na2O-Al2O3-SiO2', 'Mg', 'hydrotalcite', 'C-(N)-A-S-H', 'hydrotalcite', 'Ca', 'Mg', 'C-(A)-S-H', 'portlandite', 'hydrotalcite', 'Al. Hydrotalcite', 'C-(N)-A-S-H', 'Al', 'third aluminate hydrate']","['chemically', 'chemistry', 'nanostructure', 'Mg content', 'Mg / Al ratio', 'composition', 'binder structure']","['powders', 'glass', 'gel', 'Bulk', 'bulk']",[],['AFm']
3549,S0008884616311309,"['carbonation', 'carbonation', 'chloride aerosol attack', 'carbonation', 'carbonated']",[],"['ordinary Portland cement', 'OPC', 'Concrete', 'concrete', 'concrete', 'concretes']","['chloride profile', 'chloride binding capacity', 'chloride diffusion coefficient', 'carbonation rate', 'water - to - cement ratios', 'chloride profile', 'chloride binding capacity', 'chloride ion diffusion', 'carbonation depth', 'pH value', 'Microscopic properties', 'morphology', 'porosity', 'pore size distribution']",['concrete'],"['scanning electron microscope', 'mercury intrusion porosimetry']",[]
3550,S0008884616311322,"['Drying', 'wetting', 'curing', 'conditioning', 'dried', 'humidification', 'drying', 'drying', 'wetting']",[],"['concrete', 'GGBS', 'SF', 'concrete']","['microstructural', 'transport properties', 'durability', 'w / b ratios', 'moisture content', 'Oxygen diffusivity', 'permeability', 'electrical conductivity', 'microcracking', 'accessible', 'total porosity', 'hysteresis', 'transport properties', 'durability']","['pastes', 'mortars', 'concretes']",[],[]
3551,S0008884616311401,"['irradiation', 'carbonation', 'gamma irradiation', 'thermal treatment', 'carbonation', 'irradiation', 'carbonation']","['binding matrices', 'intermediate level waste management applications']","['Cement', 'Sr', 'Portland cement', 'Sr', 'Sr', 'Sr']","['crystallography', 'texture', 'composition']",['paste'],"['Leaching tests', 'post-leaching characterization', 'local chemical analysis', 'LA - ICPMS', 'crystallographic analysis', 'XRD', 'EPMA']",[]
3552,S0008884616311425,['intergrinding'],"['CO2 mitigation', 'cement industry', 'filler', 'CO2 mitigation']","['cement', 'limestone', 'cement', 'cement', 'clinker', 'concrete', 'concrete']","['composition', 'rheological behavior', 'particle size distributions', 'particle packing', 'water demand', 'efficiency', 'durability']",[],[],[]
3553,S0008884616311917,[],['cement manufacturing'],"['cement clinker', 'manganese', 'Mn', 'Mn', 'Fe', 'ferrite', 'Mn', 'clinker', 'cement']","['dopant behavior', 'energy consumption', 'doping mechanism', 'doping mechanism', 'stability', 'structures', 'coordination distortions']","['doped', 'doped']","['ab initio calculations', 'formation energy analyses', 'electronic structure matching "" principle']",['clinker']
3554,S0008884616311929,[],[],"['Gypsum', 'gypsum', 'gypsum', 'gypsum', 'gypsum', 'gypsum', 'calcium sulfate dihydrate', 'gypsum', 'gypsum']","['mechanically strong', 'mechanical strength', 'creep', 'creep', 'surface reactions', 'macroscopic behavior', 'pressure solution creep']","['plaster', 'wallboards', 'bulk', 'crystals', 'polycrystalline']",[],[]
3555,S000888461631198X,[],[],"['cement', 'cement', 'cement', 'cement', 'cement', 'cement']","['yield stress', 'yield stress', 'inter-particle hydrophobic attractive forces', 'yield stress']","['foams', 'foam', 'foam', 'paste', 'surface', 'surface micelles', 'particles']",[],[]
3556,S0008884616312029,['ultrasonicated colloidal suspension'],[],"['silica', 'silica fume', 'SF', 'cement', 'SF', 'SBCS', 'Cement', 'SF', 'SF', 'CDS', 'SBCS', 'SBCS', 'SF', 'cement']","['dispersity', 'particle size distribution', 'mechanical', 'physical properties', 'microstructure', 'macro-properties']","['particles', 'composite', 'pastes']","['ATR', 'DTA-TG', 'XRD', 'SEM', 'durability tests']",[]
3557,S0008884616312042,[],[],"['calcium lignosulfonate', 'LSs', 'cement', 'Portland cements', 'C3A', 'lignosulfonate', 'cement', 'LSs', 'LSs', 'LSs', 'Al']","['rheology', 'setting time', 'surface area', 'specific surface', 'rheology', 'heat of hydration', 'elemental composition', 'specific surface', 'rheology', 'setting time', 'setting retardation']","['paste', 'pastes', 'surface']",['adsorption isotherms'],[]
3558,S000888461631208X,[],[],"['calcium hydroxyaluminate', 'kuzelite', 'stratlingite', 'ettringite', 'kuzelite', 'stratlingite', 'ettringite', 'Kuzelite', 'stratlingite', 'Kuzelite', 'stratlingite', 'Ca3Al2(OH)12', 'Ca3Al1.7Fe0.3(OH)12', 'iron', 'katoite', 'katoite', 'CaO', 'Al', 'Fe hydroxide']","['bulk modulus', 'K 0', 'K 0', 'structural behavior', 'K 0', 'compressibility']","['amorphous', 'crystalline', 'doped', 'stoichiometric']","['synchrotron powder diffraction', 'Atomistic calculations', 'periodic Density Functional Theory']","['hydrogarnets', 'hydrogarnet']"
3559,S0008884616312091,[],[],"['MgCl2', 'calcium silicate hydrate', 'C-S-H', 'C-S-H', 'magnesium silicate hydrate', 'M-S-H', 'MgO', 'C-S-H', 'C-S-H', 'M-S-H', 'brucite', 'brucite', 'brucite', 'C-S-H', 'M-S-H', 'MgO', 'brucite', 'M-S-H', 'MgCl2', 'MgO', 'M-S-H', 'MgO', 'SiO2']","['Ca / Si', 'pH', 'Ca / Si', 'dissolution kinetic', 'structure', 'structure']",[],"['thermodynamic calculations', 'Thermodynamic modelling']",[]
3560,S0008884616312285,['strain - hardening'],['HS - SHCC'],"['cement', 'high - density polyethylene', 'HDPE', 'aramid', 'PBO', 'PBO']","['tensile behavior', 'high - strength', 'modulus', 'reinforcing effect', 'high', 'strength', 'finely grained', 'cementitious']","['composites', 'fibers', 'as-spun', 'fibers', 'matrix', 'composite', 'composite', 'fibers', 'cementitious matrix']","['tension experiments', 'single fiber pullout tests', 'micromechanical characterization', 'contact - angle measurements', 'microscopic']",[]
3561,S0008884617300194,[],[],"['concretes', 'concretes', 'CEM I', 'CEM III', 'CEM I', 'fly ash', 'concretes']","['thermodynamic equilibrium', 'kinetics', 'surface complexation', 'free chloride concentration profiles', 'chloride binding isotherms', 'chloride binding isotherm', 'w / b']",[],"['multi-ionic model', 'chloride binding isotherms']",[]
3562,S0008884617300200,['casting'],[],"['Cementitious', 'UHPFRC', 'steel', 'UHPFRC']","['fibre orientation', 'tensile behaviour', 'fibre orientation profiles', 'fibre density', 'orientation characteristics', 'tensile strength', 'tensile stress - elongation curve', 'tensile strength']","['Fibre - Reinforced', 'Composites', 'fibres']","['uniaxial tensile test', 'tensile stress - elongation curves', 'image analysis']",[]
3563,S0008884617300285,['curing'],"['clinker', 'cementing clinker', 'cement clinker', 'clinker', 'clinker']","['Alite', ""ye'elimite"", 'calcium sulfoaluminate', 'tricalcium silicate', 'sulfur aluminate', 'copper', 'phosphorus', 'copper', 'phosphorus', 'C3S', 'C4A3 S', 'P.II 52.5']","['mineral composition', 'mechanics', 'phase composition', 'heat release', 'compressive strength', 'phase composition', 'burn temperature', 'compressive strength']",['mortar'],['X-ray powder diffraction'],[]
3564,S0008884617300352,"['cured', 'MPCM', 'melting']","['MPCM', 'Portland cement concretes', 'Geopolymer concrete', 'Portland cement concrete', 'PCM', 'PCM']","['geopolymer', 'GPC', 'PCC', 'MPCM', 'GPC', 'PCC', 'GPC', 'PCC', 'MPCM', 'concrete']","['mechanical properties', 'microstructure', 'compressive strength', 'mechanical properties', 'strength', 'porosity']","['micro-encapsulated', 'microcapsules']","['X-ray tomography', 'SEM']",[]
3565,S0008884617300418,"['freeze - thaw cycles', 'frost damage', 'freeze - thaw']",['structures'],"['concrete', 'concrete', 'concrete', 'concrete', 'concrete', 'concrete']","['service life', 'capillary water absorption', 'chloride penetration', 'water - cement ratios', 'Water profiles', 'Capillary water absorption', 'chloride penetration', 'Capillary water absorption', 'chloride penetration', 'Transport mechanisms', 'service life']","['air - entrained', 'surface', 'surface']",['neutron radiography'],[]
3566,S0008884617300443,"['hardens', 'carbonation reaction', 'carbonation', 'carbonated']",[],"['calcium silicate', 'cement', 'CSC', 'CSC', 'low - lime calcium silicates', 'wollastonite', 'CSC', 'Ca', 'silica', 'CaCO3', 'CSC', 'Ca', 'silica gel', 'C-S-H', 'C-S-H', 'Ca', 'silica', 'CaCO3']","['Non-hydraulic', 'elastic modulus', 'hardness', 'density', 'ITZ']","['paste', 'gel', 'composite', 'bulk paste']","['29Si {1H} CP - MAS NMR', 'SEM X-ray microanalysis', 'nanoindentations']","['rankinite', 'pseudo-wollastonite']"
3567,S0008884617300479,['hydration'],['ASR gel'],"['concrete', 'potassium', 'calcium', 'Ca', 'Mg', 'Cs', 'Rb', 'K < Na', 'Li', 'Silica', 'calcium silica']","['ASR gel', 'gelation mechanism', 'gel time', 'charge screening capacity', 'Cation Gelling Strength', 'CGS', 'cation strength']","['gel', 'precipitate', 'gel', 'CSH']",[],[]
3568,S0008884617300509,"['carbonation', 'carbonation']","['geopolymer concrete', 'GPC']","['low - calcium fly ash', 'GPC', 'Ordinary Portland Cement', 'OPC', 'concrete', 'GPC', 'GPC', 'OPC', 'GPC', 'concrete', 'concrete', 'geopolymer concrete']","['durability', 'porosity', 'porosity', 'durable', 'binder chemistry']","['Core specimens', 'concrete', 'surface']","['durability assessment', 'microstructural characterization', 'FT-IR', 'XRD', 'durability property testing']",[]
3569,S000888461730056X,"['Hardened', 'thermal processing', 'hardened', 'annealing', 'cooling', 'annealing', 'cooling', 'cooling']",[],"['cement', 'concrete', 'cements', 'cementitious', 'C2S', 'beta-C2S']","['hydration reactivity', 'strength', 'crystallite size', 'heats of hydration', 'strength']","['paste', 'recycled', 'pastes', 'pastes']","['X-ray diffraction', 'Rietveld refinement']","[""alpha'H-C2S""]"
3570,S0008884617300650,"['coated', 'coated']",[],"['carbon', 'CNFs', 'polyethylene', 'PE', 'cement', 'CNFs', 'PE', 'concrete', 'SHUHPC', 'CNF', 'PE', 'SHUHPC', 'CNF', 'PE', 'CNFs']","['interface transition zone', 'ITZ', 'interface frictional bond strength', 'hydrophobic interactions', 'strain hardening ultra-high performance', 'compressive strength', 'tensile strength', 'tensile strain capacity', 'cracking spacing', 'interface frictional bond strength', 'ITZ', 'microstructure', 'crack resistance', 'interface frictional bond strength', 'tensile strength', 'tensile strain capacity']","['nanofibers', 'fibers', 'surface', 'fibers', 'fibers', 'CNF', 'fiber']","['Single fiber pullout tests', 'micrographs', 'micromechanical model']",[]
3571,S0008884617300807,"['hydrostatic tests', 'hydrostatic tests']",[],"['concrete', 'concrete', 'concrete', 'concrete', 'concrete', 'concrete', 'concrete', 'concrete', 'concrete']","['damage evolution behavior', 'damage degree', 'microstructures', 'compressive meridian', 'tensile meridian', 'uniaxial compressive strength', 'strength', ""Young 's modulus"", 'mortar interfacial transition zone', 'ITZ', 'stress path', 'ultimate strength envelopes', 'strength envelope']",[],"['uniaxial tests', 'hydrostatic tests']",[]
3572,S0008884617300856,"['hydration', 'carbonation', 'carbonation reaction']",[],"['reactive magnesium cement', 'concrete', 'RMC', 'RMC', 'concrete', 'hydrate', 'carbonate', 'carbonates', 'RMC', 'HA', 'carbonate', 'carbonate', 'HA']","['Water absorption', 'compressive strength', 'mechanical performance', 'morphology', 'strength', 'microstructures', 'morphology', 'microstructure', 'carbonate content', 'water absorption', '28-day compressive strengths']","['seeds', 'seeds', 'seeds']","['isothermal calorimetry', 'XRD', 'TGA', 'BSE', 'SEM']",[]
3573,S0008884617301126,[],[],"['concrete', 'concrete', 'concrete', 'concrete', 'pervious concrete', 'pervious concrete']","['freeze - thaw performance', 'void structure', 'freeze - thaw damage', 'mass', 'natural frequencies', 'freeze - thaw exposure', ""Young 's modulus"", 'shear modulus', ""Poisson 's ratio""]","['pervious', 'beams']","['freeze - thaw test', 'freeze - thaw test', 'modal analysis', 'modal analysis']",[]
3574,S0008884617301175,"['alkali - activated slag', 'carbonation', 'decalcification', 'carbonation', 'decalcification', 'carbonation', 'carbonation']",[],"['AAS', 'C-S-H', 'AAS', 'C-S-H', 'AAS', 'AAS', 'CaCO3', 'Portland cement', 'Calcite', 'vaterite', 'CaCO3', 'AAS', 'C-S-H', 'AAS']","['microstructural', 'Ca / Si']","['mortars', 'mortars', 'mortars', 'interlayers', 'mortars']","['XRD', 'FTIR', 'DTG', '1H NMR', 'SEM']",[]
3575,S0008884617301345,[],[],"['tricalcium aluminate', 'C3A', 'Al', 'Ca', 'cub-C3A', 'C3A', 'Portland cement']","['Ca to Al concentration ratio', 'solution interface chemistry', 'bulk solution chemistry', 'solution chemistry']","['layer', 'layer']",[],"['orthorhombic', 'cubic', 'orth-C3A', 'cub-C3A', 'cub-', 'orth-C3A', 'orth-C3A', 'cub-C3A']"
3576,S0008884617301515,[],[],"['cementitious', 'cementitious', 'mortars']","['shear wave velocity', 'V s', 'setting times', 't i', 't f', 'V s', 'V s versus time', 'V s ( t )', 'water - to - cement ratios', 't i', 't f', 'setting time', 'setting time']",[],"['bender element', 'Derivative methods', 'first - order derivative', 'V s ( t ) curves', 'second - order derivative', 'V s ( t ) curves']",[]
3577,S0008884617301539,[],"['ultra-high performance concretes', 'UHPC', 'fine filler']","['cement', 'microsilica', 'metakaolin', 'limestone', 'cement']","['number density', 'mean centroidal distance', 'coordination number', 'microstructure', 'yield stress', 'plastic viscosity', 'min - slump spread', 'microstructural', 'rheological parameters', 'packing', 'flow coefficients', 'microstructural packing', 'workability', 'reactivity', 'pore structure', 'mechanical properties']","['pastes', 'particles']","['packing algorithm', 'rheological studies']",[]
3578,S0008884617301588,"['hydrated', 'dried', 'hydrated', 'drying', 'drying', 'drying', 'supercritical drying', 'SCD', 'drying', 'dried', 'supercritically dried', 'dried', 'SCD', 'dried', 'isopropanol replacement method']",[],"['cement', 'cementitious', 'cement']","['microstructure', 'microstructure', 'critical point', 'capillary pressure', 'morphology', 'BET surface areas', 'micropores', 'chemical interactions']","['aerogels', 'pastes']",['scanning electron microscope'],[]
3579,S0008884617301618,[],[],"['mortar', 'chloride', 'cementitious', 'calcium silicate', 'CaCl']","['water distribution', 'penetration depth', 'water - cement ratio', 'transport mechanisms', 'hydration shell']","['porous', 'porous', 'nanostructure', 'surface']","['molecular dynamics', 'neutron radiography', 'Electron Probe Micro-Analysis', 'molecular dynamics']",[]
3580,S0008884617301746,[],[],"['CEM I', 'CEM III / B', 'CEM I', 'CEM III / B', 'CaCO3', 'CaO', 'ettringite', 'gypsum', 'ettringite', 'ettringite', 'gypsum']","['expansion', 'surface erosion', 'surface deterioration', 'chemical effect', 'supersaturation']","['mortar', 'mortars', 'mortars']",['Thermodynamic modeling'],[]
3581,S0008884617301795,"['calcined', 'calcined']","['superplasticizers', 'PCEs', 'PCEs']","['ordinary Portland cement', 'OPC', 'cementitious', 'cement', 'OPC', 'OPC', 'clay', 'limestone', 'clay']","['workability', 'fluidity', 'ionic character', 'density', 'structure', 'steric size']",['layered'],[],[]
3582,S0008884617301825,"['dehydration', 'dehydration', 'hydration', 'sintering']",['UHPC'],"['calcium aluminate cement', 'C3AH6', 'CAH10', 'C12A7', 'C3AH6', 'AH3', 'UA50', 'UA70', 'C-A-(S)-H', 'CAC', 'silica fume', 'CAC', 'UHPC', 'calcium aluminosilicate', 'C-A-S', 'CAC', 'C-A-(S)-H', 'silica']","['microstructural', 'chemical changes', 'compressive strength', 'vapor pressure', 'residual strength']",['gel'],[],[]
3583,S0008884617301886,"['curing', 'precuring', 'heating', 'curing', 'dry air heating', 'curing', 'hot water curing', 'hydration', 'dry air heating']",[],"['ultra-high performance concrete', 'UHPC', 'UHPC', 'UHPC', 'UHPC', 'UHPC', 'cement', 'C-S-H', 'tobermorite', 'xonotlite', 'UHPC']","['mechanical properties', 'explosive spalling', 'microstructure', 'mechanical properties', 'resistance', 'dense structure', 'dense', 'mechanical properties', 'resistance to explosive spalling']","['fiber', 'gels']","['X-ray diffraction', 'XRD', 'Rietveld method', 'thermogravimetric analysis', 'TGA', 'scanning electron microscope', 'SEM', 'mercury intrusion porosimetry', 'MIP']",['katoite']
3584,S0008884617301898,"['high pressure extraction method', 'espresso extraction']",[],"['concrete', 'concrete']","['alkali contents', 'alkali content']","['Mortar', 'concrete']","['alkali leaching test', 'alkali leaching test']",[]
3585,S0008884617301941,[],['cements'],"['Aluminum hydroxide', 'AH3', 'ternesite', 'calcium sulfoaluminate', 'CSA', 'calcium aluminates', 'C3A', 'C12A7', 'CA', 'C4A3 S', 'ternesite', 'aluminates', 'ternesite', 'ternesite', 'aluminate', 'Ternesite', 'calcium monosulfoaluminate hydrate', 'stratlingite']","['hydraulic reactivity', 'heat flow curves', 'induction period']","['pastes', 'pastes']","['isothermal conduction calorimetry', 'XRD', 'FTIR', 'DTA']",[]
3586,S0008884617301965,[],[],"['concrete', 'concrete']","['ion transport', 'pore space', 'surface charge', 'harmonic mean', 'chemical activity coefficients', 'Diffusion coefficients', 'transport numbers', 'specific conductances', 'surface charge', 'diffusivity']",['double layer'],"['electro-migration experiments', 'flux equation', 'electro-migration experiment']",[]
3587,S0008884617302041,[],['seeding'],"['C-S-H-PCE', 'Portland cement', 'C-S-H-PCE', 'Na2SiO3', 'Ca(NO3)2', 'C-S-H-PCE', 'silicate', 'silicate', 'C-S-H', 'cement', 'C-S-H-PCE']","['structure', 'morphology']","['nanocomposites', 'precipitate', 'amorphous', 'semi-crystalline', 'nanofoils', 'globular', 'foils']",[],[]
3588,S0008884617302065,"['irradiation', 'β- decay', 'electron irradiation', 'water radiolysis']","['nuclear industry', 'H2 production']","['90Sr', '137Cs', 'Cement', 'cement', 'cement', 'cements']","['β- emitters', 'composition', 'Ca content']",[],['First - principles calculations'],[]
3589,S0008884617302090,['alkali - silica reaction'],"['ASR mitigation', 'ASR', 'ASR', 'FLWAs']","['FLWAs', 'expanded slate', 'shale', 'clay', 'concrete', 'clay', 'expanded shale', 'clay', 'aluminum', 'FLWAs', 'C-A-S-H']","['alkalinity', 'composition']",['lightweight aggregate'],"['mortar bar test', 'AMBT', 'concrete prism test', 'CPT', 'pore solution analysis', 'scanning electron microscope', 'SEM', 'AMBT', 'CPT', 'Pore solution analysis', 'SEM']",[]
3590,S0008884617302144,[],[],"['cementitious', 'cementitious']","['water activity', 'Kelvin radius', 'Kelvin radius', 'pore volumes', 'water to cement ratios', 'Kelvin radius', 'chemical shrinkage']",[],"['1H nuclear magnetic resonance', 'NMR', 'mercury intrusion porosimetry', 'MIP', 'MIP', 'sensitivity analysis', 'bootstrapping technique']",[]
3591,S0008884617302168,[],"['pre-saturated lightweight sand', 'ultra-high-performance concrete', 'LWS', 'LWS', 'LWS', 'LWS']","['sand', 'LWS', 'UHPC', 'UHPC', 'cement', 'sand', 'cement', 'sand']","['mechanical properties', 'autogenous shrinkage', 'autogenous shrinkage', 'porosity', 'interface properties', 'compressive strength', 'flexural strength', 'autogenous shrinkage']",[],"['Isothermal calorimetry', 'thermal gravimetry', 'Mercury intrusion porosimetry', 'scanning electron microscope']",[]
3592,S000888461730220X,"['calcined', 'calcined', 'calcined', 'calcined', 'calcined']",[],"['cements', 'clay', 'limestone', 'fly ash', 'cements', 'clay', 'limestone', 'alumina', 'clay', 'clay', 'clay', 'fly ash', 'clay', 'clinker']","['Workability', 'strength performance', 'water - to - cementitious ratios', 'SO3', 'strength', 'Workability', 'flow', 'w / c ratios', 'rheology', 'strength', 'workability']",['paste'],[],[]
3593,S0008884617302235,[],[],"['concrete', 'concrete', 'concrete', 'mortar', 'concrete']","['flow behaviors', 'slippage resistance', 'flow boundary', 'flow behaviors', 'fluidity', 'structure']",[],"['mesh free method', 'Smoothed Particle Hydrodynamics', 'SPH', 'rheological model', 'VGM', 'viscous granular material', 'visco - plastic model', 'Murata', 'L-flow test', 'VGM model', 'Bingham model']",[]
3594,S0008884617302284,[],"['filler', 'filler', 'filler', 'filler', 'filler', 'filler']","['cement', 'cement', 'hydrates', 'CSH', 'calcium', 'calcite', 'calcium', 'silica']","['adhesion mechanisms', 'bond strength', 'adhesion', 'adhesion']","['CSH', 'surface', 'paste', 'surfaces', 'surface', 'surface']","['zeta-potential measurements', 'microscopic observations']",[]
3595,S0008884617302454,"['calcined', 'Calcined', 'calcination', 'calcined', 'calcined', 'calcined']","['supplementary cementitious materials', 'cement industry', 'SCMs', 'SCMs', 'SCM', 'pozzolans', 'pozzolan']","['clinker', 'cement', 'clay', 'kaolinite', 'clays', 'cement', 'clays', 'cement', 'clay', 'limestone', 'clay', 'clinker', 'clay', 'limestone', 'clinker', 'clinker', 'limestone']","['mechanical properties', 'durability']",[],[],[]
3596,S0008884617302521,[],"['clinkers', 'cement industry']","['fluorapatite', 'C3S', 'β-C2S', 'P2O5', 'Cements', 'fluorapatite', 'fluorapatite', 'CaO']","['mineralogy', 'reactivity', 'mineralogical composition', 'reactivity']",[],"['infrared spectrometry', 'X-ray diffraction', 'microscopy', 'MEB', 'EDS', 'XRD', 'Rietveld', 'isothermal microcalorimetry']",['clinkers']
3597,S0008884617302533,['hydration'],[],"['Calcium silicate hydrate', 'C-S-H', 'cement', 'cement', 'C-S-H', 'C-S-H', 'C-S-H', 'DNA', '14A tobermorite', 'C-S-H']","['atomistic structure', 'structure', 'defect structures', 'stabilities', 'Ca / Si ratios']",['nanosized'],"['atomistic models', 'DFT', 'classical molecular dynamics']",[]
3598,S0008884617302570,"['carbonated', 'carbonation', 'carbonation', 'carbonation']",[],"['cement', 'fly ash', 'cement', 'cement paste', 'cement']","['porosity', 'interfacial transition zone', 'ITZ', 'porosity', 'ITZ', 'ITZ', 'porous', 'porosity', 'ITZ', 'carbonation reaction capacity', 'porosity', 'porosity', 'ITZ']","['microconcrete', 'paste', 'microconcrete', 'surface', 'paste', 'microconcrete', 'bulk', 'microconcrete', 'bulk', 'paste']","['Scanning electron microscopy', 'Image segmentation']",[]
3599,S0008884617302697,[],['alkali activators'],"['nano-silica', 'silicate', 'silica', 'silicate', 'nano-silica', 'Nano-silica', 'nano-silica', '29Si', 'waterglass', 'silicate']","['reaction kinetics', 'gel structure', 'strength', 'reaction intensity', 'chemically bound water content', 'strength', 'compositions']",['nano-silica'],['27Al MAS NMR'],"['olivine', 'olivine']"
3600,S0008884617302806,"['hydration', 'hydrated']",[],"['MgO', 'SiO2', 'Portland cement', 'magnesium silicate hydrate', 'M-S-H', 'calcium silicate hydrate', 'C-S-H', 'MgO', 'SiO2', 'Portland cement', 'silica', 'MgO', 'SiO2', 'Portland cement', 'aluminum']","['structural properties', 'composition', 'hydration kinetics']",['gels'],"['X-ray diffraction', '29Si', '27Al solid state NMR']",[]
3601,S0008884617302910,"['alkali activated', 'ground granulated blast furnace slag', 'alkali activation']",[],"['geopolymers', 'fly ash', 'metakaolin', 'fly ash', 'metakaolin']","['heat', 'mineral evolution', 'activation energy']",['amorphous'],"['isothermal calorimeter', 'XRD', 'XRD', 'PONKCS analysis']",[]
3602,S0008884617302934,[],[],"['concrete', 'concrete', 'concrete', 'cement', 'hydrates', 'hydrate', 'concrete']","['composition', 'uniaxial compressive strength', 'interfacial transition zones', 'ITZ', 'stresses', 'material constants', 'Strength', 'ITZ stress concentrations', 'water - to - cement ratio']","['paste', 'micron']","['Feret', 'Abrams', 'continuum micromechanics', 'Drucker - Prager failure criterion', 'nanoindentation tests']",[]
3603,S0008884617302971,[],[],"['concrete', 'concrete', 'calcium', 'concrete']","['leachate composition', 'binder compositions', 'water / binder ratios', 'leachability', 'water hardness', 'environmental compatibility']",[],"['tank leaching tests', 'horizontal dynamic surface leaching test', 'DSLT']",[]
3604,S0008884617303009,[],"['electric railway systems', 'railway tunnel lining']","['concrete', 'steel', 'concrete', 'Steel', 'concrete', 'steel', 'steel', 'steel', 'steel', 'concrete', 'steel', 'concrete', 'cement', 'steel']","['corrosion behaviour', 'pitting corrosion tendency']","['fibre', 'fibres', 'fibres', 'fibres', 'mortar', 'fibres']","['voltammetry tests', 'electrochemical impedance spectroscopy']",[]
