,caption,tables,Label,text,pred_0,pred_1,pred_2,all_pred,pii_tid,pii,date
1563,Properties of Portland cement.,"[['Cement strength class', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Physical analysis', 'Physical analysis', 'Physical analysis'], ['Cement strength class', 'SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'SO3', 'Na2O', 'K2O', 'LOI', 'F.CaO', 'C3A', 'C3S', 'Specific Gravity (ton/m3)', 'Sieve residue on 90mm (%)', 'Blaine test (cm2/gr)'], ['C 325', '20.4', '4.56', '3.4', '64.12', '1.93', '2.3', '0.32', '0.7', '2.2', '1.3', '6.33', '63.94', '3.13', '0.9', '3000'], ['C 425', '20.2', '4.6', '3.5', '64', '1.94', '2.4', '0.35', '0.7', '2.7', '1.3', '6.27', '64.27', '3.13', '0.8', '3050'], ['C 525', '21', '4.7', '3.52', '64.18', '1.93', '2.53', '0.32', '0.65', '1.2', '1.2', '6.5', '57.85', '3.15', '0.1', '3600']]",1,"Properties of Portland cement.;[['Cement strength class', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Chemical analysis (%)', 'Physical analysis', 'Physical analysis', 'Physical analysis'], ['Cement strength class', 'SiO2', 'Al2O3', 'Fe2O3', 'CaO', 'MgO', 'SO3', 'Na2O', 'K2O', 'LOI', 'F.CaO', 'C3A', 'C3S', 'Specific Gravity (ton/m3)', 'Sieve residue on 90mm (%)', 'Blaine test (cm2/gr)'], ['C 325', '20.4', '4.56', '3.4', '64.12', '1.93', '2.3', '0.32', '0.7', '2.2', '1.3', '6.33', '63.94', '3.13', '0.9', '3000'], ['C 425', '20.2', '4.6', '3.5', '64', '1.94', '2.4', '0.35', '0.7', '2.7', '1.3', '6.27', '64.27', '3.13', '0.8', '3050'], ['C 525', '21', '4.7', '3.52', '64.18', '1.93', '2.53', '0.32', '0.65', '1.2', '1.2', '6.5', '57.85', '3.15', '0.1', '3600']]",1,1,1,3,S0950061817301563_0,S0950061817301563,2017-03-06
1564,Chemical and mineralogical components of CEM I 42.5 R cement and perlite in %.,"[['Elements', 'CaO', 'SiO2', 'Fe2O3', 'Al2O3', 'MgO', 'SO3', 'Na2O', 'K2O'], ['Perlite, weight', '2.01', '72.50', '1.13', '12.61', '1.68', '0.05', '3.34', '3.71'], ['Cement, weight', '63.90', '20.05', '6.50', '4.32', '0.02', '2.15', '0.40', '0.40'], ['', '', '', '', '', '', '', '', ''], ['Elements', 'C3S', 'C2S', 'C3A', 'C4AF', '', '', '', ''], ['Bogue, composition', '41.90', '31.28', '2.99', '15.30', '', '', '', '']]",1,"Chemical and mineralogical components of CEM I 42.5 R cement and perlite in %.;[['Elements', 'CaO', 'SiO2', 'Fe2O3', 'Al2O3', 'MgO', 'SO3', 'Na2O', 'K2O'], ['Perlite, weight', '2.01', '72.50', '1.13', '12.61', '1.68', '0.05', '3.34', '3.71'], ['Cement, weight', '63.90', '20.05', '6.50', '4.32', '0.02', '2.15', '0.40', '0.40'], ['', '', '', '', '', '', '', '', ''], ['Elements', 'C3S', 'C2S', 'C3A', 'C4AF', '', '', '', ''], ['Bogue, composition', '41.90', '31.28', '2.99', '15.30', '', '', '', '']]",1,1,1,3,S0950061823020494_0,S0950061823020494,2023-07-17
1565,"The chemical composition, physical properties, and clinker composition.","[['Test items', 'Test items', 'LHPC', 'FA', 'PS'], ['Chemical composition (%)', 'CaO', '59.83', '6.23', '43.59'], ['Chemical composition (%)', 'SiO2', '21.10', '50.91', '39.15'], ['Chemical composition (%)', 'Al2O3', '4.38', '25.66', '4.87'], ['Chemical composition (%)', 'Fe2O3', '4.99', '4.46', '0.47'], ['Chemical composition (%)', 'MgO', '4.13', '1.69', '4.33'], ['Chemical composition (%)', 'SO3', '2.13', '1.32', '0.91'], ['Chemical composition (%)', 'R2O*', '0.52', '2.25', '1.03'], ['Chemical composition (%)', 'Ig.Loss', '1.87', '4.61', '0.91'], ['Physical Properties', 'Specific gravity (g/cm3)', '3.22', '2.54', '2.89'], ['Physical Properties', 'Specific surface area (m2/kg)', '322', '386', '334'], ['Physical Properties', 'Normal Consistency (%)', '25.0', '-', '-'], ['Clinker composition (%)', 'C3S', '32.06', '-', '-'], ['Clinker composition (%)', 'C2S', '43.16', '-', '-'], ['Clinker composition (%)', 'C3A', '1.96', '-', '-'], ['Clinker composition (%)', 'C4AF', '15.65', '-', '-']]",1,"The chemical composition, physical properties, and clinker composition.;[['Test items', 'Test items', 'LHPC', 'FA', 'PS'], ['Chemical composition (%)', 'CaO', '59.83', '6.23', '43.59'], ['Chemical composition (%)', 'SiO2', '21.10', '50.91', '39.15'], ['Chemical composition (%)', 'Al2O3', '4.38', '25.66', '4.87'], ['Chemical composition (%)', 'Fe2O3', '4.99', '4.46', '0.47'], ['Chemical composition (%)', 'MgO', '4.13', '1.69', '4.33'], ['Chemical composition (%)', 'SO3', '2.13', '1.32', '0.91'], ['Chemical composition (%)', 'R2O*', '0.52', '2.25', '1.03'], ['Chemical composition (%)', 'Ig.Loss', '1.87', '4.61', '0.91'], ['Physical Properties', 'Specific gravity (g/cm3)', '3.22', '2.54', '2.89'], ['Physical Properties', 'Specific surface area (m2/kg)', '322', '386', '334'], ['Physical Properties', 'Normal Consistency (%)', '25.0', '-', '-'], ['Clinker composition (%)', 'C3S', '32.06', '-', '-'], ['Clinker composition (%)', 'C2S', '43.16', '-', '-'], ['Clinker composition (%)', 'C3A', '1.96', '-', '-'], ['Clinker composition (%)', 'C4AF', '15.65', '-', '-']]",1,1,1,3,S0950061823020627_0,S0950061823020627,2023-07-06
1566,"Percentage of phases present in the cements, determined by X-ray diffraction using the Rietveld method.","[['Phase', 'ICSD* code', 'OPC NG', 'OPC PG', 'OPC CTPG'], ['Alite M1', '-', '31.66', '30.71', '30.62'], ['Alite M3', '94,742', '19.02', '18.54', '18.89'], ['Belite b', '963', '6.23', '7.27', '7.75'], ['Cubic C3A', '1841', '4.94', '5.13', '5.54'], ['Orthorhombic C3A', '1880', '1.29', '0.89', '0.66'], ['C4AF', '9197', '4.44', '5.06', '5.34'], ['Free lime (CaO)', '75,785', '0.31', '0.23', '0.24'], ['Periclase', '104,844', '0.54', '0.54', '0.76'], ['Gypsum', '151,692', '4.29', '4.87', '4.69'], ['Hemihydrate', '380,286', '2.32', '2.92', '2.24'], ['Calcite', '79,673', '7.22', '6.78', '7.14'], ['Non-crystalline phases', '-', '17.74', '17.07', '16.15'], ['GOF**', 'GOF**', '1.78', '2.06', '2.05']]",1,"Percentage of phases present in the cements, determined by X-ray diffraction using the Rietveld method.;[['Phase', 'ICSD* code', 'OPC NG', 'OPC PG', 'OPC CTPG'], ['Alite M1', '-', '31.66', '30.71', '30.62'], ['Alite M3', '94,742', '19.02', '18.54', '18.89'], ['Belite b', '963', '6.23', '7.27', '7.75'], ['Cubic C3A', '1841', '4.94', '5.13', '5.54'], ['Orthorhombic C3A', '1880', '1.29', '0.89', '0.66'], ['C4AF', '9197', '4.44', '5.06', '5.34'], ['Free lime (CaO)', '75,785', '0.31', '0.23', '0.24'], ['Periclase', '104,844', '0.54', '0.54', '0.76'], ['Gypsum', '151,692', '4.29', '4.87', '4.69'], ['Hemihydrate', '380,286', '2.32', '2.92', '2.24'], ['Calcite', '79,673', '7.22', '6.78', '7.14'], ['Non-crystalline phases', '-', '17.74', '17.07', '16.15'], ['GOF**', 'GOF**', '1.78', '2.06', '2.05']]",1,1,1,3,S0950061821016950_4,S0950061821016950,2021-06-17
1567,Compound composition of OPC Type-I used in the study.,"[['Compound compositions', 'Percentage (%)'], ['C3S', '57.5'], ['C2S', '17.1'], ['C3A', '9.7'], ['C4AF', '7.1'], ['MgO', '3.2'], ['SO3', '2.9'], ['Ignition loss', '1.2'], ['Free CaO', '1.0']]",1,"Compound composition of OPC Type-I used in the study.;[['Compound compositions', 'Percentage (%)'], ['C3S', '57.5'], ['C2S', '17.1'], ['C3A', '9.7'], ['C4AF', '7.1'], ['MgO', '3.2'], ['SO3', '2.9'], ['Ignition loss', '1.2'], ['Free CaO', '1.0']]",1,1,1,3,S0950061820325733_1,S0950061820325733,2020-08-28
1568,The mineral composition of Portland cement *  (%),"[['C3S', 'C2S', 'C3A', 'C4AF', 'CaSO4*2H2O'], ['56.20', '19.61', '6.54', '8.97', '3.50']]",1,"The mineral composition of Portland cement *  (%);[['C3S', 'C2S', 'C3A', 'C4AF', 'CaSO4*2H2O'], ['56.20', '19.61', '6.54', '8.97', '3.50']]",1,1,1,3,S0008884618313371_1,S0008884618313371,2020-02-05
1569,Chemical composition and main compounds.,"[['Chemical composition', 'G [%]', 'W [%]', 'Phases', 'G [%]', 'W [%]'], ['CaO', '63.71', '67.19', 'C3S', '56', '80'], ['SiO2', '20.27', '20.86', 'C2S', '17', '0'], ['Al2O3', '4.80', '3.91', 'C3A', '7', '10'], ['Fe2O3', '3.43', '0.45', 'C4AF', '10', '1'], ['SO3', '2.91', '2.92', 'C    S   -', '5', '5']]",1,"Chemical composition and main compounds.;[['Chemical composition', 'G [%]', 'W [%]', 'Phases', 'G [%]', 'W [%]'], ['CaO', '63.71', '67.19', 'C3S', '56', '80'], ['SiO2', '20.27', '20.86', 'C2S', '17', '0'], ['Al2O3', '4.80', '3.91', 'C3A', '7', '10'], ['Fe2O3', '3.43', '0.45', 'C4AF', '10', '1'], ['SO3', '2.91', '2.92', 'C    S   -', '5', '5']]",1,1,1,3,S0950061817304294_0,S0950061817304294,2017-03-22
1570,Mineral and chemical compositions of the cement.,"[['Mineral composition', 'Mineral composition', 'Chemical composition', 'Chemical composition'], ['Component', 'Content (%)', 'Component', 'Content (%)'], ['C3S', '58.68', 'SiO2', '23.17'], ['C2S', '15.03', 'CaO', '61.86'], ['C3A', '9.34', 'Al2O3', '5.37'], ['C4AF', '7.80', 'Fe2O3', '3.32'], ['Gypsum', '2.65', 'MgO', '2.78'], ['Calcite', '3.62', 'SO3', '2.36'], ['Amorphous', '2.88', 'Na2O', '0.36'], ['', '', 'K2O', '0.20'], ['', '', 'Loss', '0.13']]",1,"Mineral and chemical compositions of the cement.;[['Mineral composition', 'Mineral composition', 'Chemical composition', 'Chemical composition'], ['Component', 'Content (%)', 'Component', 'Content (%)'], ['C3S', '58.68', 'SiO2', '23.17'], ['C2S', '15.03', 'CaO', '61.86'], ['C3A', '9.34', 'Al2O3', '5.37'], ['C4AF', '7.80', 'Fe2O3', '3.32'], ['Gypsum', '2.65', 'MgO', '2.78'], ['Calcite', '3.62', 'SO3', '2.36'], ['Amorphous', '2.88', 'Na2O', '0.36'], ['', '', 'K2O', '0.20'], ['', '', 'Loss', '0.13']]",1,1,1,3,S0950061821020080_1,S0950061821020080,2021-07-23
1571,Characteristics of Portland cement type II.,"[['Chemical analysis', 'Chemical analysis', 'Chemical analysis', 'Chemical analysis', 'Requirement According to ISIRI 389'], ['SiO2', '%', '%', '21.74', 'Min: 20'], ['Al2O3', '%', '%', '5', 'Max: 6'], ['Fe2O3', '%', '%', '4', 'Max: 6'], ['CaO', '%', '%', '63.04', '-'], ['MgO', '%', '%', '2', 'Max: 5'], ['SO3', '%', '%', '2.3', 'Max: 5'], ['C3S', '%', '%', '45.5', '-'], ['C2S', '%', '%', '28', '-'], ['C3A', '%', '%', '6.5', 'Max: 8'], ['', '', '', '', ''], ['Physical tests', 'Physical tests', 'Physical tests', 'Physical tests', 'Physical tests'], ['Curing time', 'initial', 'minute', '140', 'Min: 45'], ['Curing time', 'final', 'hour', '3', 'Max: 6'], ['Compressive strength', '3 days', 'kg/cm2', '220', 'Min: 100'], ['Compressive strength', '7 days', 'kg/cm2', '275', 'Min: 175'], ['Compressive strength', '28 days', 'kg/cm2', '380', 'Min:315']]",1,"Characteristics of Portland cement type II.;[['Chemical analysis', 'Chemical analysis', 'Chemical analysis', 'Chemical analysis', 'Requirement According to ISIRI 389'], ['SiO2', '%', '%', '21.74', 'Min: 20'], ['Al2O3', '%', '%', '5', 'Max: 6'], ['Fe2O3', '%', '%', '4', 'Max: 6'], ['CaO', '%', '%', '63.04', '-'], ['MgO', '%', '%', '2', 'Max: 5'], ['SO3', '%', '%', '2.3', 'Max: 5'], ['C3S', '%', '%', '45.5', '-'], ['C2S', '%', '%', '28', '-'], ['C3A', '%', '%', '6.5', 'Max: 8'], ['', '', '', '', ''], ['Physical tests', 'Physical tests', 'Physical tests', 'Physical tests', 'Physical tests'], ['Curing time', 'initial', 'minute', '140', 'Min: 45'], ['Curing time', 'final', 'hour', '3', 'Max: 6'], ['Compressive strength', '3 days', 'kg/cm2', '220', 'Min: 100'], ['Compressive strength', '7 days', 'kg/cm2', '275', 'Min: 175'], ['Compressive strength', '28 days', 'kg/cm2', '380', 'Min:315']]",1,1,1,3,S0950061817323425_2,S0950061817323425,2017-12-06
1572,Properties of Type I Portland cement used in the preparation of concrete.,"[['Element', 'Composition (%)'], ['SiO2', '20.77'], ['Al2O3', '4.57'], ['MgO', '2.37'], ['Fe2O3', '2.62'], ['CaO', '62.67'], ['SO3', '3.18'], ['Na2O', '0.19'], ['K2O', '0.32'], ['TiO2', '0.34'], ['P2O5', '0.14'], ['SrO', '0.22'], ['BaO', '0.07'], ['', ''], ['Phase', 'Composition (%)'], ['C3S', '52.13'], ['C2S', '20.22'], ['C3A', '7.68'], ['C4AF', '7.97']]",1,"Properties of Type I Portland cement used in the preparation of concrete.;[['Element', 'Composition (%)'], ['SiO2', '20.77'], ['Al2O3', '4.57'], ['MgO', '2.37'], ['Fe2O3', '2.62'], ['CaO', '62.67'], ['SO3', '3.18'], ['Na2O', '0.19'], ['K2O', '0.32'], ['TiO2', '0.34'], ['P2O5', '0.14'], ['SrO', '0.22'], ['BaO', '0.07'], ['', ''], ['Phase', 'Composition (%)'], ['C3S', '52.13'], ['C2S', '20.22'], ['C3A', '7.68'], ['C4AF', '7.97']]",1,1,1,3,S095006181830059X_1,S095006181830059X,2018-02-20
1573,Chemical and physical properties of cement and SCMs used.,"[['Chemical and Physical analysis (%)', 'OPC', 'Cement Type V', 'Silica Fume', 'Fly Ash', 'Slag'], ['SiO2', '20.8', '20.97', '91', '51.47', '34.8'], ['Al2O3', '5.37', '3.91', '', '24.31', '13.4'], ['Fe2O3', '3.32', '4.8', '', '8.87', '0.62'], ['TiO2', '', '', '', '1.02', ''], ['CaO', '63.77', '64.27', '', '5.15', '43.4'], ['MgO', '2.08', '1.97', '', '3.50', '5.44'], ['SO3', '2.63', '1.86', '', '0.23', '0.34'], ['Loss on Ignition (L.O.I)', '1.34', '2.16', '6.00', '0.53', ''], ['Insoluble residue (I.R.)', '0.39', '0.60', '', '', '0.34'], ['Na2Oeq', '0.52', '0.48', '', '', '0.56'], ['K2O', '', '', '', '1.47', ''], ['P2O5', '', '', '', '0.257', ''], ['C3S', '53.20', '63.84', '', '', ''], ['C2S', '19.50', '11.96', '', '', ''], ['C3A', '8.61', '2.24', '', '', ''], ['C4AF', '10.10', '14.61', '', '', ''], ['C3AF + 2C3A', '27.33', '19.09', '', '', ''], ['Fineness, Air permeability Test (m2/kg)', '323', '315', '', '', '']]",1,"Chemical and physical properties of cement and SCMs used.;[['Chemical and Physical analysis (%)', 'OPC', 'Cement Type V', 'Silica Fume', 'Fly Ash', 'Slag'], ['SiO2', '20.8', '20.97', '91', '51.47', '34.8'], ['Al2O3', '5.37', '3.91', '', '24.31', '13.4'], ['Fe2O3', '3.32', '4.8', '', '8.87', '0.62'], ['TiO2', '', '', '', '1.02', ''], ['CaO', '63.77', '64.27', '', '5.15', '43.4'], ['MgO', '2.08', '1.97', '', '3.50', '5.44'], ['SO3', '2.63', '1.86', '', '0.23', '0.34'], ['Loss on Ignition (L.O.I)', '1.34', '2.16', '6.00', '0.53', ''], ['Insoluble residue (I.R.)', '0.39', '0.60', '', '', '0.34'], ['Na2Oeq', '0.52', '0.48', '', '', '0.56'], ['K2O', '', '', '', '1.47', ''], ['P2O5', '', '', '', '0.257', ''], ['C3S', '53.20', '63.84', '', '', ''], ['C2S', '19.50', '11.96', '', '', ''], ['C3A', '8.61', '2.24', '', '', ''], ['C4AF', '10.10', '14.61', '', '', ''], ['C3AF + 2C3A', '27.33', '19.09', '', '', ''], ['Fineness, Air permeability Test (m2/kg)', '323', '315', '', '', '']]",1,1,1,3,S0950061818300850_1,S0950061818300850,2018-02-20
1574,Chemical and Physical Properties of Type I-II Cement.,"[['Chemical and Physical Properties', 'Chemical and Physical Properties', 'Test Results', 'ASTM C 150 Specifications'], ['SiO2', '(%)', '20.5', '-'], ['Al2O3', '(%)', '4.8', '6.0 max'], ['Fe2O3', '(%)', '4.3', '6.0 max'], ['CaO', '(%)', '64.9', '-'], ['MgO', '(%)', '1.1', '6.0 max'], ['SO3', '(%)', '3.1', '3.0 max'], ['CO2', '(%)', '1.42', '-'], ['Limestone', '(%)', '3.3', '5.0 max'], ['CaCO3 in Limestone', '(%)', '98', '70 min'], ['C3S', '(%)', '59', '-'], ['C2S', '(%)', '12', '-'], ['C3A', '(%)', '5', '8 max'], ['C4AF', '(%)', '13', '-'], ['C3S + 4.75 C3A', '(%)', '84', '100 max'], ['Loss of Ignition', '(%)', '2.1', '3.0 max'], ['Blaine Fineness', 'cm2/g', '4060', '2800 min'], ['Air Content of PC Mortar', '(%)', '9', '12 max'], ['Specific Gravity', '', '3.15', '-']]",1,"Chemical and Physical Properties of Type I-II Cement.;[['Chemical and Physical Properties', 'Chemical and Physical Properties', 'Test Results', 'ASTM C 150 Specifications'], ['SiO2', '(%)', '20.5', '-'], ['Al2O3', '(%)', '4.8', '6.0 max'], ['Fe2O3', '(%)', '4.3', '6.0 max'], ['CaO', '(%)', '64.9', '-'], ['MgO', '(%)', '1.1', '6.0 max'], ['SO3', '(%)', '3.1', '3.0 max'], ['CO2', '(%)', '1.42', '-'], ['Limestone', '(%)', '3.3', '5.0 max'], ['CaCO3 in Limestone', '(%)', '98', '70 min'], ['C3S', '(%)', '59', '-'], ['C2S', '(%)', '12', '-'], ['C3A', '(%)', '5', '8 max'], ['C4AF', '(%)', '13', '-'], ['C3S + 4.75 C3A', '(%)', '84', '100 max'], ['Loss of Ignition', '(%)', '2.1', '3.0 max'], ['Blaine Fineness', 'cm2/g', '4060', '2800 min'], ['Air Content of PC Mortar', '(%)', '9', '12 max'], ['Specific Gravity', '', '3.15', '-']]",1,1,1,3,S0950061818300898_0,S0950061818300898,2018-02-22
1575,Mineral composition of Portland cement and its physical properties.,"[['Minerals', 'C3S', 'C2S', 'C3A', 'C4AF', 'Limestone', 'Gypsum'], ['Content (wt.%)', '47.16', '22.72', '4.14', '14.00', '4.54', '5.59']]",1,"Mineral composition of Portland cement and its physical properties.;[['Minerals', 'C3S', 'C2S', 'C3A', 'C4AF', 'Limestone', 'Gypsum'], ['Content (wt.%)', '47.16', '22.72', '4.14', '14.00', '4.54', '5.59']]",1,1,1,3,S0950061820307819_1,S0950061820307819,2020-03-24
1576,Targeted phase proportions of the different FR-CSA clinkers (wt.%).,"[['Targeted phases/variations', 'Proportions (wt.%)', 'Proportions (wt.%)', 'Proportions (wt.%)', 'Proportions (wt.%)', 'Proportions (wt.%)'], ['Targeted phases/variations', 'S0', 'S5', 'S10', 'S15', 'S20'], ['C 4   A 3   S -', '50', '47.5', '45', '42.5', '40'], ['C2S', '30', '28.5', '27', '25.5', '24'], ['C4AF', '20', '19', '18', '17', '16'], ['CaSO4', '0', '5', '10', '15', '20'], ['Cm', '1.00', '1.00', '1.00', '1.00', '1.00'], ['Al2O3/Fe2O3', '4.46', '4.45', '4.45', '4.46', '4.45']]",1,"Targeted phase proportions of the different FR-CSA clinkers (wt.%).;[['Targeted phases/variations', 'Proportions (wt.%)', 'Proportions (wt.%)', 'Proportions (wt.%)', 'Proportions (wt.%)', 'Proportions (wt.%)'], ['Targeted phases/variations', 'S0', 'S5', 'S10', 'S15', 'S20'], ['C 4   A 3   S -', '50', '47.5', '45', '42.5', '40'], ['C2S', '30', '28.5', '27', '25.5', '24'], ['C4AF', '20', '19', '18', '17', '16'], ['CaSO4', '0', '5', '10', '15', '20'], ['Cm', '1.00', '1.00', '1.00', '1.00', '1.00'], ['Al2O3/Fe2O3', '4.46', '4.45', '4.45', '4.46', '4.45']]",1,1,1,3,S0950061820307881_0,S0950061820307881,2020-03-28
1577,Phase compositions of different clinkers (wt.%) (Theo.: theoretical phases calculated using the Bogue equations; Quant.: phases quantified via RQPA).,"[['Mineral', 'Clinkers', 'Clinkers', 'Clinkers', 'Clinkers', 'Clinkers', 'Clinkers', 'Clinkers', 'Clinkers', 'Clinkers', 'Clinkers'], ['Mineral', 'S0', 'S0', 'S5', 'S5', 'S10', 'S10', 'S15', 'S15', 'S20', 'S20'], ['Mineral', 'Theo.', 'Quant.', 'Theo.', 'Quant.', 'Theo.', 'Quant.', 'Theo.', 'Quant.', 'Theo.', 'Quant.'], ['C 4   A 3   S -   -o', '--', '22.4', '--', '19.3', '--', '17.8', '--', '15.1', '--', '12.3'], ['C 4   A 3   S -   -c', '--', '30.9', '--', '33.2', '--', '33.0', '--', '36.1', '--', '36.7'], ['C 4   A 3   S -', '50', '53.3', '47.5', '52.5', '45', '50.8', '42.5', '51.2', '40', '49.0'], ['C2S-beta', '--', '27.3', '--', '15.7', '--', '7.6', '--', '14.9', '--', '8.7'], [""C2S-alpha'"", '--', '4.6', '--', '19.3', '--', '27.4', '--', '16.1', '--', '17.5'], ['C2S', '30', '31.9', '28.5', '35.0', '27', '35.0', '25.5', '31.0', '24', '26.2'], ['CaSO4', '0', '0.6', '5', '1.7', '10', '4.2', '15', '6.8', '20', '9.0'], ['C2AS', '--', '0.2', '--', '0.7', '--', '1.7', '--', '3.3', '--', '10.6'], ['C 5   S 2   S -', '--', '1.7', '--', '1.2', '--', '1.2', '--', '2.6', '--', '2.4'], ['C4AF', '20', '10.7', '19', '7.9', '18', '5.3', '17', '3.2', '16', '1.6'], ['C2F', '--', '1.7', '--', '1.2', '--', '1.9', '--', '1.8', '--', '1.1']]",1,"Phase compositions of different clinkers (wt.%) (Theo.: theoretical phases calculated using the Bogue equations; Quant.: phases quantified via RQPA).;[['Mineral', 'Clinkers', 'Clinkers', 'Clinkers', 'Clinkers', 'Clinkers', 'Clinkers', 'Clinkers', 'Clinkers', 'Clinkers', 'Clinkers'], ['Mineral', 'S0', 'S0', 'S5', 'S5', 'S10', 'S10', 'S15', 'S15', 'S20', 'S20'], ['Mineral', 'Theo.', 'Quant.', 'Theo.', 'Quant.', 'Theo.', 'Quant.', 'Theo.', 'Quant.', 'Theo.', 'Quant.'], ['C 4   A 3   S -   -o', '--', '22.4', '--', '19.3', '--', '17.8', '--', '15.1', '--', '12.3'], ['C 4   A 3   S -   -c', '--', '30.9', '--', '33.2', '--', '33.0', '--', '36.1', '--', '36.7'], ['C 4   A 3   S -', '50', '53.3', '47.5', '52.5', '45', '50.8', '42.5', '51.2', '40', '49.0'], ['C2S-beta', '--', '27.3', '--', '15.7', '--', '7.6', '--', '14.9', '--', '8.7'], [""C2S-alpha'"", '--', '4.6', '--', '19.3', '--', '27.4', '--', '16.1', '--', '17.5'], ['C2S', '30', '31.9', '28.5', '35.0', '27', '35.0', '25.5', '31.0', '24', '26.2'], ['CaSO4', '0', '0.6', '5', '1.7', '10', '4.2', '15', '6.8', '20', '9.0'], ['C2AS', '--', '0.2', '--', '0.7', '--', '1.7', '--', '3.3', '--', '10.6'], ['C 5   S 2   S -', '--', '1.7', '--', '1.2', '--', '1.2', '--', '2.6', '--', '2.4'], ['C4AF', '20', '10.7', '19', '7.9', '18', '5.3', '17', '3.2', '16', '1.6'], ['C2F', '--', '1.7', '--', '1.2', '--', '1.9', '--', '1.8', '--', '1.1']]",1,1,1,3,S0950061820307881_3,S0950061820307881,2020-03-28
1578,Cement Composition.,"[['Compound', 'SO3', 'Cl-', 'Eq Na2O', 'C3S', 'C2S', 'C3A', 'C4AF'], ['%w', '2.5-3.5', '<0.10', '<1.0', '40-60', '12.5-30', '7-12', '6-10']]",1,"Cement Composition.;[['Compound', 'SO3', 'Cl-', 'Eq Na2O', 'C3S', 'C2S', 'C3A', 'C4AF'], ['%w', '2.5-3.5', '<0.10', '<1.0', '40-60', '12.5-30', '7-12', '6-10']]",1,1,1,3,S0950061817325485_0,S0950061817325485,2018-01-11
1579,Mineralogical composition of CEM I determined by XRD / Rietveld refinement.,"[['Compound', 'CEM I 52.5R (%)'], ['C3S', '66.4'], ['C2S', '8.9'], ['C3Ac', '3.4'], ['C3Ao', '0.7'], ['C4AF', '10.8'], ['CaO', '0.4'], ['CaCO3', '5.4'], ['CaSO4*2H2O', '1.1'], ['CaSO4*0.5H2O', '2.9'], ['Total sum', '100.0']]",1,"Mineralogical composition of CEM I determined by XRD / Rietveld refinement.;[['Compound', 'CEM I 52.5R (%)'], ['C3S', '66.4'], ['C2S', '8.9'], ['C3Ac', '3.4'], ['C3Ao', '0.7'], ['C4AF', '10.8'], ['CaO', '0.4'], ['CaCO3', '5.4'], ['CaSO4*2H2O', '1.1'], ['CaSO4*0.5H2O', '2.9'], ['Total sum', '100.0']]",1,1,1,3,S0950061819313017_1,S0950061819313017,2019-05-30
1580,Oxide analysis and mineralogical phase composition of OPC.,"[['Oxides', 'Mass (%)'], ['SiO2', '19.4'], ['Al2O3', '4.65'], ['Fe2O3', '3.82'], ['CaO', '64.11'], ['MgO', '1.85'], ['SO3', '3.16'], ['Na2O', '0.31'], ['K2O', '0.27'], ['Cl-', '-'], ['L.O.I', '2.1'], ['LSF', '99.37'], ['', ''], ['Mineral composition according to Bogue calculation (%)', 'Mineral composition according to Bogue calculation (%)'], ['C3S', '67.81'], ['C2S', '4.49'], ['C3A', '5.87'], ['C4AF', '11.61']]",1,"Oxide analysis and mineralogical phase composition of OPC.;[['Oxides', 'Mass (%)'], ['SiO2', '19.4'], ['Al2O3', '4.65'], ['Fe2O3', '3.82'], ['CaO', '64.11'], ['MgO', '1.85'], ['SO3', '3.16'], ['Na2O', '0.31'], ['K2O', '0.27'], ['Cl-', '-'], ['L.O.I', '2.1'], ['LSF', '99.37'], ['', ''], ['Mineral composition according to Bogue calculation (%)', 'Mineral composition according to Bogue calculation (%)'], ['C3S', '67.81'], ['C2S', '4.49'], ['C3A', '5.87'], ['C4AF', '11.61']]",1,1,1,3,S0950061817316318_0,S0950061817316318,2017-08-17
1581,Mineral composition of the cement used in experiments.,"[['Composition', 'C3S', 'C2S', 'C3A', 'C4AF', 'gypsum'], ['Content/%', '55.5', '19.1', '6.5', '10.1', '5.0']]",1,"Mineral composition of the cement used in experiments.;[['Composition', 'C3S', 'C2S', 'C3A', 'C4AF', 'gypsum'], ['Content/%', '55.5', '19.1', '6.5', '10.1', '5.0']]",1,1,1,3,S0950061817316355_0,S0950061817316355,2017-08-17
